W016ABCDEF0008_CARD	W016ABCDEF0008_CARD	SQ_CC016ABCDEF0008_CARD	CC016ABCDEF0008_CARD				
W016ABCDEF0008_CARD	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD				
W016ABCDEF0008_CARD	INPUT_FILE_NAME	INPUT_FILE_NAME	INPUT_FILE_NAME				
W016ABCDEF0008_CARD	SK_INFO_SYSTEM	SK_INFO_SYSTEM	SK_INFO_SYSTEM				
W016ABCDEF0008_CARD	SK_INPUT_FILE	SK_INPUT_FILE	SK_INPUT_FILE				
W016ABCDEF0008_CARD	SK_ACCESS_DEVICE	SK_ACCESS_DEVICE	SK_ACCESS_DEVICE				
W016ABCDEF0008_CARD	SK_AGREEMENT	SK_AGREEMENT	SK_AGREEMENT				
W016ABCDEF0008_CARD	SK_PARTY_VSP	SK_PARTY_VSP	SK_PARTY_VSP				
W016ABCDEF0008_CARD	SK_PARTY_OSB	SK_PARTY_OSB	SK_PARTY_OSB				
W016ABCDEF0008_CARD	SK_PRODUCT	SK_PRODUCT	SK_PRODUCT				
W016ABCDEF0008_CARD	CURRENT_LOAD_FLAG	CURRENT_LOAD_FLAG	CURRENT_LOAD_FLAG				
W016ABCDEF0008_CARD	SK_ACC_DEV_REASON_TYPE	SK_ACC_DEV_REASON_TYPE	SK_ACC_DEV_REASON_TYPE				
W016ABCDEF0008_CARD	ACTUAL_FROM	ACTUAL_FROM	ACTUAL_FROM				
W016ABCDEF0008_CARD	ACTUAL_TO	ACTUAL_TO	ACTUAL_TO				
W016ABCDEF0008_CARD	PK_RN	PK_RN	PK_RN				
W016ABCDEF0008_CARD	SK_CONTR_SUBTYPE_ID	SK_CONTR_SUBTYPE_ID	SK_CONTR_SUBTYPE_ID				
W016ABCDEF0008_CARD	SK_DRN	SK_DRN	SK_DRN				
W016ABCDEF0008_CARD	SK_CARD_BIN	SK_CARD_BIN	SK_CARD_BIN				
W016ABCDEF0008_CARD	SK_UCFC	SK_UCFC	SK_UCFC				
W016ABCDEF0008_CARD	DRN	DRN	DRN				
W016ABCDEF0008_CARD	UCFC	UCFC	UCFC				
W016ABCDEF0008_CARD	CONTR_SUBTYPE_ID	CONTR_SUBTYPE_ID	CONTR_SUBTYPE_ID				
W016ABCDEF0008_CARD	CARD_BIN	CARD_BIN	CARD_BIN				
W016ABCDEF0008_CARD	LAST_MODIFIED_DT	LAST_MODIFIED_DT	LAST_MODIFIED_DT				
W016ABCDEF0008_CARD	CARD_ID_W4	CARD_ID_W4	CARD_ID_W4				
W016ABCDEF0008_CARD	CARD_NUMBER	CARD_NUMBER	CARD_NUMBER				
W016ABCDEF0008_CARD	CONTRACT_ID_W4	CONTRACT_ID_W4	CONTRACT_ID_W4				
W016ABCDEF0008_CARD	CARD_CLIENT_ID_W4	CARD_CLIENT_ID_W4	CARD_CLIENT_ID_W4				
W016ABCDEF0008_CARD	PRODUCT_ID_W4	PRODUCT_ID_W4	PRODUCT_ID_W4				
W016ABCDEF0008_CARD	STATUS_ID	STATUS_ID	STATUS_ID				
W016ABCDEF0008_CARD	CARD_OPEN_DATE_W4	CARD_OPEN_DATE_W4	CARD_OPEN_DATE_W4				
W016ABCDEF0008_CARD	CARD_EXPIRE	CARD_EXPIRE	CARD_EXPIRE				
W016ABCDEF0008_CARD	CARD_HOLDER	CARD_HOLDER	CARD_HOLDER				
W016ABCDEF0008_CARD	ISSUE_NUMBER	ISSUE_NUMBER	ISSUE_NUMBER				
W016ABCDEF0008_CARD	OSB_TB_NUMBER	OSB_TB_NUMBER	OSB_TB_NUMBER				
W016ABCDEF0008_CARD	OSB_NUMBER	OSB_NUMBER	OSB_NUMBER				
W016ABCDEF0008_CARD	CARD_VSP_NUMBER	CARD_VSP_NUMBER	CARD_VSP_NUMBER				
W016ABCDEF0008_CARD	ADD_INFO	ADD_INFO	ADD_INFO				
W016ABCDEF0008_CARD	OSB_ID	OSB_ID	OSB_ID				
W016ABCDEF0008_CARD	MOBILE_IND	MOBILE_IND	MOBILE_IND				
W016ABCDEF0008_CARD	ADD_INFO_02	ADD_INFO_02	ADD_INFO_02				
W016ABCDEF0008_CARD	NFC_CARD	NFC_CARD	NFC_CARD				
W016ABCDEF0008_CARD	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD				
W016ABCDEF0008_CARD	SERV_PACK_ID	SERV_PACK_ID	SERV_PACK_ID				
W016ABCDEF0008_CARD	OLD_PACK	OLD_PACK	OLD_PACK				
C016ABCDEF0010_CONTRACT	C016ABCDEF0010_CONTRACT	SQ_CC016ABCDEF0010_CONTRACT	CC016ABCDEF0010_CONTRACT	
C016ABCDEF0010_CONTRACT	AGREEMENT_OPEN_DATE	AGREEMENT_OPEN_DATE	AGREEMENT_OPEN_DATE	
C016ABCDEF0010_CONTRACT	ACTUAL_FROM	ACTUAL_FROM	ACTUAL_FROM	
C016ABCDEF0010_CONTRACT	ACTUAL_TO	ACTUAL_TO	ACTUAL_TO	
C016ABCDEF0010_CONTRACT	AGREEMENT_NUMBER	AGREEMENT_NUMBER	AGREEMENT_NUMBER	
C016ABCDEF0010_CONTRACT	AGREEMENT_CLIENT_ID_W4	AGREEMENT_CLIENT_ID_W4	AGREEMENT_CLIENT_ID_W4	
C016ABCDEF0010_CONTRACT	STATUS_ID	STATUS_ID	STATUS_ID	
C016ABCDEF0010_CONTRACT	OSB_ID	OSB_ID	OSB_ID	
C016ABCDEF0010_CONTRACT	INPUT_FILE_NAME	INPUT_FILE_NAME	INPUT_FILE_NAME	
C016ABCDEF0010_CONTRACT	SK_INFO_SYSTEM	SK_INFO_SYSTEM	SK_INFO_SYSTEM	
C016ABCDEF0010_CONTRACT	SK_INPUT_FILE	SK_INPUT_FILE	SK_INPUT_FILE	
C016ABCDEF0010_CONTRACT	SK_AGREEMENT	SK_AGREEMENT	SK_AGREEMENT	
C016ABCDEF0010_CONTRACT	SK_PARTY_VSP	SK_PARTY_VSP	SK_PARTY_VSP	
C016ABCDEF0010_CONTRACT	SK_PARTY_OSB	SK_PARTY_OSB	SK_PARTY_OSB	
C016ABCDEF0010_CONTRACT	SK_PARTY_CLIENT	SK_PARTY_CLIENT	SK_PARTY_CLIENT	
C016ABCDEF0010_CONTRACT	LAST_MODIFIED_DT	LAST_MODIFIED_DT	LAST_MODIFIED_DT	
C016ABCDEF0010_CONTRACT	AGREEMENT_ID_W4	AGREEMENT_ID_W4	AGREEMENT_ID_W4	
C016ABCDEF0010_CONTRACT	CARD_VSP_NUMBER	CARD_VSP_NUMBER	CARD_VSP_NUMBER	
C016ABCDEF0010_CONTRACT	DEPOSIT_NUMBER	DEPOSIT_NUMBER	DEPOSIT_NUMBER	
C016ABCDEF0010_CONTRACT	CURRENCY_CD	CURRENCY_CD	CURRENCY_CD	
C016ABCDEF0010_CONTRACT	SK_COA	SK_COA	SK_COA	
C016ABCDEF0010_CONTRACT	FULL_CRLIM	FULL_CRLIM	FULL_CRLIM	
C016ABCDEF0010_CONTRACT	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD	
C016ABCDEF0010_CONTRACT	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD	
C016ABCDEF0010_CONTRACT	SK_FIN_AGRMNT_TYPE	SK_FIN_AGRMNT_TYPE	SK_FIN_AGRMNT_TYPE	
C016ABCDEF0010_CONTRACT	SK_ACCT_STTS_REASON_TYPE	SK_ACCT_STTS_REASON_TYPE	SK_ACCT_STTS_REASON_TYPE	
C016ABCDEF0010_CONTRACT	SK_CURRENCY	SK_CURRENCY	SK_CURRENCY	
C016ABCDEF0010_CONTRACT	CURRENT_LOAD_FLAG	CURRENT_LOAD_FLAG	CURRENT_LOAD_FLAG	
C016ABCDEF0010_CONTRACT	NZD	NZD	NZD	
C016ABCDEF0010_CONTRACT	DATE_EXPIRE	DATE_EXPIRE	DATE_EXPIRE	
C016ABCDEF0010_CONTRACT	CONTR_SUBTYPE_ID	CONTR_SUBTYPE_ID	CONTR_SUBTYPE_ID	
C016ABCDEF0010_CONTRACT	CLIENT_CATEG	CLIENT_CATEG	CLIENT_CATEG	
C016ABCDEF0010_CONTRACT	READY	READY	READY	
C016ABCDEF0010_CONTRACT	OWN_BALANCE	OWN_BALANCE	OWN_BALANCE	
C016ABCDEF0010_CONTRACT	TOTAL_BALANCE	TOTAL_BALANCE	TOTAL_BALANCE	
C016ABCDEF0010_CONTRACT	RISK_FACTOR	RISK_FACTOR	RISK_FACTOR	
C016ABCDEF0010_CONTRACT	CREDIT_AMOUNT	CREDIT_AMOUNT	CREDIT_AMOUNT	
C016ABCDEF0010_CONTRACT	PK_RN	PK_RN	PK_RN	
C016ABCDEF0010_CONTRACT	SK_CLIENT_CATEGORY	SK_CLIENT_CATEGORY	SK_CLIENT_CATEGORY	
C016ABCDEF0010_CONTRACT	SK_READINESS	SK_READINESS	SK_READINESS	
C016ABCDEF0010_CONTRACT	SK_RISK_FACTOR	SK_RISK_FACTOR	SK_RISK_FACTOR	
C016ABCDEF0010_CONTRACT	SK_CONTR_SUBTYPE_ID	SK_CONTR_SUBTYPE_ID	SK_CONTR_SUBTYPE_ID	
C016ABCDEF0011_CONTRACT_CR	C016ABCDEF0011_CONTRACT_CR	SQ_CC016ABCDEF0011_CONTRACT_CR	CC016ABCDEF0011_CONTRACT_CR		
C016ABCDEF0011_CONTRACT_CR	OVD_INT_PAID_AMOUNT	OVD_INT_PAID_AMOUNT	OVD_INT_PAID_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OVD_INT_AMOUNT_BAL	OVD_INT_AMOUNT_BAL	OVD_INT_AMOUNT_BAL		
C016ABCDEF0011_CONTRACT_CR	LN_INT_AMOUNT_BAL	LN_INT_AMOUNT_BAL	LN_INT_AMOUNT_BAL		
C016ABCDEF0011_CONTRACT_CR	LN_INT_GRC_AMNT_BAL	LN_INT_GRC_AMNT_BAL	LN_INT_GRC_AMNT_BAL		
C016ABCDEF0011_CONTRACT_CR	CONSENT_TO_BKI	CONSENT_TO_BKI	CONSENT_TO_BKI		
C016ABCDEF0011_CONTRACT_CR	FORM_DATE	FORM_DATE	FORM_DATE		
C016ABCDEF0011_CONTRACT_CR	AGREEMENT_ID_W4	AGREEMENT_ID_W4	AGREEMENT_ID_W4		
C016ABCDEF0011_CONTRACT_CR	DEPOSIT_AMOUNT	DEPOSIT_AMOUNT	DEPOSIT_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OUTSTANDING_AMOUNT	OUTSTANDING_AMOUNT	OUTSTANDING_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OVD_AMOUNT	OVD_AMOUNT	OVD_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OVD_INT_AMOUNT	OVD_INT_AMOUNT	OVD_INT_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	AGREEMENT_INTEREST_RATE	AGREEMENT_INTEREST_RATE	AGREEMENT_INTEREST_RATE		
C016ABCDEF0011_CONTRACT_CR	PROVISION_CODE	PROVISION_CODE	PROVISION_CODE		
C016ABCDEF0011_CONTRACT_CR	QUALITY_CLASS_CBR	QUALITY_CLASS_CBR	QUALITY_CLASS_CBR		
C016ABCDEF0011_CONTRACT_CR	PROVISION_RATE	PROVISION_RATE	PROVISION_RATE		
C016ABCDEF0011_CONTRACT_CR	FULL_CRLIM_DATE	FULL_CRLIM_DATE	FULL_CRLIM_DATE		
C016ABCDEF0011_CONTRACT_CR	FULL_CRLIM	FULL_CRLIM	FULL_CRLIM		
C016ABCDEF0011_CONTRACT_CR	NEXT_PAYMENT_DATE	NEXT_PAYMENT_DATE	NEXT_PAYMENT_DATE		
C016ABCDEF0011_CONTRACT_CR	MANDATORY_PAYMENT	MANDATORY_PAYMENT	MANDATORY_PAYMENT		
C016ABCDEF0011_CONTRACT_CR	INT_PAID_AMOUNT	INT_PAID_AMOUNT	INT_PAID_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	INPUT_FILE_NAME	INPUT_FILE_NAME	INPUT_FILE_NAME		
C016ABCDEF0011_CONTRACT_CR	PENALTY_REPAYM	PENALTY_REPAYM	PENALTY_REPAYM		
C016ABCDEF0011_CONTRACT_CR	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD		
C016ABCDEF0011_CONTRACT_CR	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD		
C016ABCDEF0011_CONTRACT_CR	SK_INFO_SYSTEM	SK_INFO_SYSTEM	SK_INFO_SYSTEM		
C016ABCDEF0011_CONTRACT_CR	SK_INPUT_FILE	SK_INPUT_FILE	SK_INPUT_FILE		
C016ABCDEF0011_CONTRACT_CR	SK_AGREEMENT	SK_AGREEMENT	SK_AGREEMENT		
C016ABCDEF0011_CONTRACT_CR	SK_ACCOUNT_GROUP	SK_ACCOUNT_GROUP	SK_ACCOUNT_GROUP		
C016ABCDEF0011_CONTRACT_CR	SK_PAYMENT_OPTION	SK_PAYMENT_OPTION	SK_PAYMENT_OPTION		
C016ABCDEF0011_CONTRACT_CR	SK_AGMT_CLASS_VALUE	SK_AGMT_CLASS_VALUE	SK_AGMT_CLASS_VALUE		
C016ABCDEF0011_CONTRACT_CR	IMPORTED_FLAG	IMPORTED_FLAG	IMPORTED_FLAG		
C016ABCDEF0011_CONTRACT_CR	LOAN_AMOUNT	LOAN_AMOUNT	LOAN_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	LOAN_CASH	LOAN_CASH	LOAN_CASH		
C016ABCDEF0011_CONTRACT_CR	LOAN_RETAIL	LOAN_RETAIL	LOAN_RETAIL		
C016ABCDEF0011_CONTRACT_CR	OVL_AMOUNT	OVL_AMOUNT	OVL_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	LN_INT_GRC_AMNT	LN_INT_GRC_AMNT	LN_INT_GRC_AMNT		
C016ABCDEF0011_CONTRACT_CR	OVD30_AMOUNT	OVD30_AMOUNT	OVD30_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OVD60_AMOUNT	OVD60_AMOUNT	OVD60_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OVD90_AMOUNT	OVD90_AMOUNT	OVD90_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OVD180_AMOUNT	OVD180_AMOUNT	OVD180_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OVD360_AMOUNT	OVD360_AMOUNT	OVD360_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	TRNDATE_45815	TRNDATE_45815	TRNDATE_45815		
C016ABCDEF0011_CONTRACT_CR	TRNDATE_49515	TRNDATE_49515	TRNDATE_49515		
C016ABCDEF0011_CONTRACT_CR	FEE_SERV_NUMBER	FEE_SERV_NUMBER	FEE_SERV_NUMBER		
C016ABCDEF0011_CONTRACT_CR	BAD_DEBTS_OVD	BAD_DEBTS_OVD	BAD_DEBTS_OVD		
C016ABCDEF0011_CONTRACT_CR	BAD_DEBTS_OVD_INT	BAD_DEBTS_OVD_INT	BAD_DEBTS_OVD_INT		
C016ABCDEF0011_CONTRACT_CR	BAD_DEBTS_FEE	BAD_DEBTS_FEE	BAD_DEBTS_FEE		
C016ABCDEF0011_CONTRACT_CR	BAD_DEBTS_PENALTY	BAD_DEBTS_PENALTY	BAD_DEBTS_PENALTY		
C016ABCDEF0011_CONTRACT_CR	BAD_DEBTS_NDUTY	BAD_DEBTS_NDUTY	BAD_DEBTS_NDUTY		
C016ABCDEF0011_CONTRACT_CR	PENALTY_REPAYM_DAY	PENALTY_REPAYM_DAY	PENALTY_REPAYM_DAY		
C016ABCDEF0011_CONTRACT_CR	ACNT_DATE_EXPIRE	ACNT_DATE_EXPIRE	ACNT_DATE_EXPIRE		
C016ABCDEF0011_CONTRACT_CR	LN_INT_AMOUNT	LN_INT_AMOUNT	LN_INT_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OVL_INT_AMOUNT	OVL_INT_AMOUNT	OVL_INT_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	CRLIM_DATE_CLOSE	CRLIM_DATE_CLOSE	CRLIM_DATE_CLOSE		
C016ABCDEF0011_CONTRACT_CR	PENALTY_AMOUNT	PENALTY_AMOUNT	PENALTY_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	FEE_PD_AMOUNT	FEE_PD_AMOUNT	FEE_PD_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	FEE_AMOUNT	FEE_AMOUNT	FEE_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	LAST_PAYM_DATE	LAST_PAYM_DATE	LAST_PAYM_DATE		
C016ABCDEF0011_CONTRACT_CR	EARLY_OVD	EARLY_OVD	EARLY_OVD		
C016ABCDEF0011_CONTRACT_CR	CREDIT_ATTR	CREDIT_ATTR	CREDIT_ATTR		
C016ABCDEF0011_CONTRACT_CR	ETSM_ID	ETSM_ID	ETSM_ID		
C016ABCDEF0011_CONTRACT_CR	LOAN_NUMBER	LOAN_NUMBER	LOAN_NUMBER		
C016ABCDEF0011_CONTRACT_CR	MAY_ADD_CRLIM	MAY_ADD_CRLIM	MAY_ADD_CRLIM		
C016ABCDEF0011_CONTRACT_CR	TB_NUMBER	TB_NUMBER	TB_NUMBER		
C016ABCDEF0011_CONTRACT_CR	AGREEMENT_OPEN_DATE	AGREEMENT_OPEN_DATE	AGREEMENT_OPEN_DATE		
C016ABCDEF0011_CONTRACT_CR	SK_EARLY_OVD	SK_EARLY_OVD	SK_EARLY_OVD		
C016ABCDEF0011_CONTRACT_CR	SK_CREDIT_ATTR	SK_CREDIT_ATTR	SK_CREDIT_ATTR		
C016ABCDEF0011_CONTRACT_CR	SK_COA	SK_COA	SK_COA		
C016ABCDEF0011_CONTRACT_CR	OVD_PAID_AMOUNT	OVD_PAID_AMOUNT	OVD_PAID_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	LN_INT_PD_CASH	LN_INT_PD_CASH	LN_INT_PD_CASH		
C016ABCDEF0011_CONTRACT_CR	LN_INT_PD_RETAIL	LN_INT_PD_RETAIL	LN_INT_PD_RETAIL		
C016ABCDEF0011_CONTRACT_CR	OVLDP_AMOUNT	OVLDP_AMOUNT	OVLDP_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	UNUSED_CRLIM	UNUSED_CRLIM	UNUSED_CRLIM		
